feature,channel,category,importance_median,importance_mean,importance_norm_median,importance_norm_mean,rank,in_top_n,in_final_set,decision,replaced_by
ch05_maxabs,ch05,Max,0.0158204545915198,0.016774254948801,0.9683600245194632,0.9756999157897857,3,1,0,DROP,ch05_rms
ch04_maxabs,ch04,Max,0.0144571203579057,0.0155045994726098,0.8849111979226317,0.9018484842369152,4,1,0,DROP,ch04_rms
ch05_mav,ch05,MAV,0.0141728589258472,0.0161297591291068,0.8675117353644761,0.9382118414209526,5,1,0,DROP,ch05_rms
ch04_mav,ch04,MAV,0.0137082449011786,0.0151143422224565,0.8390730046239997,0.8791485808866273,6,1,0,DROP,ch04_rms
ch03_rms,ch03,RMS,0.0120614959106953,0.0137249631390451,0.7382765399221233,0.798333244597637,8,1,0,DROP,ch03_maxabs
ch06_mav,ch06,MAV,0.0113099817835253,0.0129471680208332,0.6922768352737401,0.7530916148705711,10,1,0,DROP,ch06_rms
ch04_fft-maxpower,ch04,FFT,0.0109601795997606,0.0118771966870544,0.6708656647357656,0.6908551135504261,11,1,0,DROP,ch04_rms
ch09_rms,ch09,RMS,0.0108587631596174,0.01106355228125,0.6646580285458185,0.6435282557764572,13,1,0,DROP,ch09_maxabs
ch05_fft-maxpower,ch05,FFT,0.0108194071710914,0.0122767524481778,0.6622490733673463,0.7140958788584127,14,1,0,DROP,ch05_rms
ch03_mav,ch03,MAV,0.0107270855708897,0.0117838192941814,0.6565981265808389,0.6854236762293097,15,1,0,DROP,ch03_fft-maxpower
ch10_mav,ch10,MAV,0.0104842251187363,0.0108797287972164,0.6417327918307122,0.6328358847329064,16,1,0,DROP,ch10_rms
ch06_maxabs,ch06,Max,0.0102790586220741,0.0114703051610817,0.629174680267669,0.6671876523821763,17,1,0,DROP,ch06_rms
ch11_mav,ch11,MAV,0.0099523811779542,0.0107625294640671,0.6091789604248625,0.6260188082169316,18,1,0,DROP,ch11_fft-maxpower
ch09_mav,ch09,MAV,0.00988633996575,0.0102422872469804,0.6051366195743266,0.5957581326190552,20,1,0,DROP,ch09_fft-maxpower
ch11_rms,ch11,RMS,0.0098171623777651,0.010296807903298,0.6009023031449388,0.5989294090745665,21,1,0,DROP,ch11_maxabs
ch07_rms,ch07,RMS,0.0093218606404564,0.010606714535945,0.5705851969132446,0.616955597200315,25,1,0,DROP,ch07_mav
ch14_mav,ch14,MAV,0.0092404227147297,0.0098730701571987,0.5656004329611508,0.5742820620270818,27,1,0,DROP,ch14_rms
ch10_fft-maxpower,ch10,FFT,0.0088483607156077,0.009232152514417,0.5416025658400387,0.5370021177315571,30,1,0,DROP,ch10_rms
ch15_mav,ch15,MAV,0.0087924922218167,0.0094856902100942,0.5381828906528111,0.5517495213615117,32,1,0,DROP,ch15_rms
ch13_mav,ch13,MAV,0.008732114512421,0.0096395541676963,0.5344872092289498,0.5606992512263378,33,1,0,DROP,ch13_rms
ch12_mav,ch12,MAV,0.0086069130540128,0.009321163616371,0.5268237071068945,0.5421795831358912,34,1,0,DROP,ch12_rms
ch08_mav,ch08,MAV,0.0083741051782854,0.0091058487796772,0.5125736842049908,0.5296554699236066,35,1,0,DROP,ch08_rms
