feature,channel,category,importance_median,importance_mean,importance_norm_median,importance_norm_mean,rank,in_top_n,in_final_set,decision,replaced_by
ch05_rms,ch05,RMS,0.0163373685312656,0.0171920225443731,1.0,1.0,1,1,1,KEEP,
ch04_rms,ch04,RMS,0.0161001380368452,0.016798314120693,0.9854792714036924,0.9770993539204624,2,1,1,KEEP,
ch03_maxabs,ch03,Max,0.0123160601978359,0.0135272096230068,0.7538582590131387,0.786830612168675,7,1,1,KEEP,
ch06_rms,ch06,RMS,0.0118397414045376,0.0131675476059744,0.7247030867841004,0.7659103268384265,9,1,1,KEEP,
ch10_rms,ch10,RMS,0.0109008897922017,0.0118234143296777,0.6672365730956132,0.6877267813697396,12,1,1,KEEP,
ch07_mav,ch07,MAV,0.0099017086609443,0.0110114786741497,0.6060773276917243,0.6404993156406582,19,1,1,KEEP,
ch15_rms,ch15,RMS,0.0096331960736191,0.0101293274380049,0.5896418419639375,0.5891876544403554,22,1,1,KEEP,
ch14_rms,ch14,RMS,0.0096191597847262,0.0102672366104498,0.5887826895939577,0.597209350089542,23,1,1,KEEP,
ch13_rms,ch13,RMS,0.0094432520946657,0.0100718761776521,0.5780154910868159,0.5858459149676143,24,1,1,KEEP,
ch08_rms,ch08,RMS,0.0093163523752783,0.0101703463708011,0.5702480394837864,0.5915735827213543,26,1,1,KEEP,
ch12_rms,ch12,RMS,0.0091327256008529,0.0101907643415076,0.5590083607023494,0.5927612248765334,28,1,1,KEEP,
ch02_rms,ch02,RMS,0.0088542333627768,0.0102361428394552,0.541962026860818,0.5954007338598706,29,1,1,KEEP,
ch09_maxabs,ch09,Max,0.0088018542852965,0.0091075556304273,0.5387559366401038,0.5297547514796737,31,1,1,KEEP,
ch05_thresh2-events,ch05,Thresh,0.008301232870908,0.0099608301204109,0.5081132163372324,0.5793867530537316,37,1,1,KEEP,
ch11_fft-maxpower,ch11,FFT,0.0081954818221446,0.0088724221784438,0.5016402614937973,0.5160778585267559,38,1,1,KEEP,
ch09_fft-maxpower,ch09,FFT,0.0081522243531428,0.0087429426930663,0.4989924991617542,0.5085464883785792,39,1,1,KEEP,
ch03_fft-maxpower,ch03,FFT,0.0081373625009046,0.0092469121322546,0.4980828145812921,0.5378606332319573,40,1,1,KEEP,
ch04_thresh2-events,ch04,Thresh,0.0078055563738518,0.0107995675988278,0.4777731712982995,0.6281731873579065,42,1,1,KEEP,
ch11_maxabs,ch11,Max,0.0077306722429009,0.0084550693469145,0.4731895609814026,0.4918018996945673,45,1,1,KEEP,
ch01_maxabs,ch01,Max,0.0074987515183441,0.0079468214384754,0.4589938400418317,0.4622388912045926,51,1,1,KEEP,
ch06_thresh2-events,ch06,Thresh,0.0074946100617147,0.0083085461459307,0.4587403440995997,0.4832791560438031,52,1,1,KEEP,
ch07_maxabs,ch07,Max,0.0072478407284213,0.0081175910554137,0.443635749205924,0.4721719643201953,55,1,1,KEEP,
ch00_rms,ch00,RMS,0.00724684867234,0.0078157393841135,0.4435750260803247,0.4546143052070169,56,1,1,KEEP,
ch01_mav,ch01,MAV,0.0067273812426961,0.0071235265114202,0.4117787530973312,0.4143506962624204,64,1,1,KEEP,
ch03_thresh2-events,ch03,Thresh,0.0055542210404127,0.0080617919171684,0.3399703587382113,0.4689263230292224,68,1,1,KEEP,
ch04_thresh3-events,ch04,Thresh,0.0049747976181633,0.006096122566183,0.3045042173494964,0.3545901914942683,69,1,1,KEEP,
ch07_thresh2-events,ch07,Thresh,0.0048596933392394,0.0054831622261444,0.2974587572006614,0.3189364260076008,70,1,1,KEEP,
ch06_fft-highfreq,ch06,FFT,0.0047149095866168,0.0050722289416468,0.288596635228846,0.2950338698402279,71,1,1,KEEP,
ch05_thresh3-events,ch05,Thresh,0.0046123523556905,0.0053245214547974,0.2823191719562221,0.3097088455447676,72,1,1,KEEP,
ch05_fft-highfreq,ch05,FFT,0.0046031594870581,0.0051581889467639,0.2817564822785772,0.3000338635812338,73,1,1,KEEP,
ch14_thresh2-events,ch14,Thresh,0.0044981920799683,0.004433888174359,0.2753314936466048,0.2579038134061928,74,1,1,KEEP,
ch02_thresh2-events,ch02,Thresh,0.0044293822886674,0.0055624420549393,0.2711196898197378,0.3235478571868175,75,1,1,KEEP,
ch13_thresh2-events,ch13,Thresh,0.0043651002323867,0.0048031620389246,0.2671850257912108,0.2793831863893593,76,1,1,KEEP,
ch04_fft-highfreq,ch04,FFT,0.0043605577287419,0.0046845006040393,0.2669069820146927,0.272481064513993,77,1,1,KEEP,
ch07_fft-highfreq,ch07,FFT,0.0042901631097269,0.0045078962258117,0.2625981718853094,0.2622086036809647,78,1,1,KEEP,
ch12_thresh2-events,ch12,Thresh,0.0042474874802902,0.0049288877611776,0.2599860235852343,0.2866962132265728,79,1,1,KEEP,
ch10_thresh2-events,ch10,Thresh,0.00418186197126,0.0048368199036531,0.2559691276631837,0.2813409470101128,80,1,1,KEEP,
