feature,gain
ch05_thresh2-events,53.44887924194336
ch04_thresh2-events,52.74394989013672
ch04_thresh3-events,38.339237213134766
ch04_rms,33.99806213378906
ch06_fft-highfreq,32.3993034362793
ch10_rms,27.059446334838867
ch09_fft-maxpower,25.591360092163086
ch12_thresh2-events,25.06925392150879
ch07_mav,24.974098205566406
ch05_rms,24.583932876586914
ch11_fft-maxpower,24.221946716308594
ch10_thresh2-events,21.313413619995117
ch03_maxabs,18.771947860717773
ch05_thresh3-events,17.92106819152832
ch01_maxabs,17.63939094543457
ch14_thresh2-events,16.837486267089844
ch13_rms,16.2070369720459
ch06_rms,15.259989738464355
ch05_fft-highfreq,15.243308067321777
ch14_rms,14.831693649291992
