Model,User_ID,Mean_User_Accuracy,Sample_Count,Folds_Processed
DummyClassifier,91,0.11898734177215191,790,5
DummyClassifier,52,0.09156862745098039,677,5
DummyClassifier,36,0.12248062015503876,645,5
DummyClassifier,58,0.1983494642239889,1316,5
DummyClassifier,4,0.21772583147810837,1217,5
DummyClassifier,21,0.11644980429493282,687,5
DummyClassifier,71,0.111950330371383,661,5
DummyClassifier,51,0.22272634625575805,1109,5
DummyClassifier,19,0.11538147694818442,858,5
DummyClassifier,27,0.18645300366205228,1389,5
DummyClassifier,42,0.10919540229885057,870,5
DummyClassifier,63,0.2001576004067107,1404,5
DummyClassifier,85,0.16346212506354857,1401,5
DummyClassifier,6,0.18873239436619715,1420,5
DummyClassifier,38,0.13529411764705884,850,5
DummyClassifier,49,0.172474192978471,1409,5
DummyClassifier,77,0.17350596057450068,1389,5
DummyClassifier,12,0.17654208762953535,1388,5
DummyClassifier,33,0.18706233855155457,1267,5
DummyClassifier,56,0.11039607531924103,833,5
DummyClassifier,68,0.19214285714285714,1400,5
DummyClassifier,37,0.09897348160821214,839,5
DummyClassifier,9,0.10778981937602627,872,5
DummyClassifier,95,0.11973856209150327,852,5
DummyClassifier,73,0.10212590299277605,852,5
DummyClassifier,28,0.10994152046783626,855,5
DummyClassifier,16,0.18235892221657346,1404,5
DummyClassifier,67,0.10628571428571429,875,5
DummyClassifier,59,0.11203619909502263,848,5
DummyClassifier,81,0.1876131164209456,1402,5
DummyClassifier,2,0.18235383833248603,1404,5
DummyClassifier,23,0.17830046815151085,1329,5
DummyClassifier,78,0.11724137931034484,870,5
DummyClassifier,46,0.11441698572920292,848,5
DummyClassifier,7,0.08498522167487685,871,5
DummyClassifier,39,0.11933276304533788,838,5
DummyClassifier,84,0.11827313381492947,854,5
DummyClassifier,62,0.09783081735346116,859,5
DummyClassifier,43,0.18391761944423413,1408,5
DummyClassifier,18,0.19710144927536233,1380,5
DummyClassifier,26,0.16296979006656423,1399,5
DummyClassifier,57,0.17400075414781296,1362,5
DummyClassifier,69,0.11353037766830872,872,5
DummyClassifier,32,0.18634562479493194,1406,5
DummyClassifier,13,0.19043721403152009,1402,5
DummyClassifier,48,0.1114024998082969,808,5
DummyClassifier,76,0.11539548022598871,884,5
DummyClassifier,90,0.10928571428571429,878,5
DummyClassifier,29,0.12151502787977697,856,5
DummyClassifier,17,0.1696461512661412,1338,5
DummyClassifier,72,0.12265348820431428,832,5
DummyClassifier,94,0.12023121387283235,865,5
DummyClassifier,53,0.116078431372549,853,5
DummyClassifier,8,0.1760076726988213,1409,5
DummyClassifier,79,0.19770609318996415,1396,5
DummyClassifier,47,0.18099745084677316,1409,5
DummyClassifier,22,0.17357557657209224,1227,5
DummyClassifier,3,0.09770114942528736,870,5
DummyClassifier,80,0.19278604489125567,1416,5
DummyClassifier,66,0.11797701149425288,873,5
DummyClassifier,54,0.11704545454545454,880,5
DummyClassifier,31,0.1882898105478751,1397,5
DummyClassifier,10,0.08760860276313916,593,5
DummyClassifier,75,0.18748614012016193,1392,5
DummyClassifier,93,0.12189349112426036,845,5
DummyClassifier,87,0.15915492957746477,1420,5
DummyClassifier,61,0.12080252722140072,861,5
DummyClassifier,98,0.1984468163415532,1426,5
DummyClassifier,40,0.18368794326241136,1410,5
DummyClassifier,25,0.11135233230272887,862,5
DummyClassifier,44,0.18768115942028984,1380,5
DummyClassifier,0,0.20100493697215746,1413,5
DummyClassifier,83,0.17641470466749273,1349,5
