feature,importance,importance_normalized
ch07_mav,0.8991381847573015,0.10499053434583515
ch13_rms,0.6440003357338718,0.07519860741521842
ch08_rms,0.41779040766328424,0.04878453488989843
ch07_thresh2-events,0.3867756357010253,0.045163003143017126
ch03_maxabs,0.3743148269060459,0.04370797988191594
ch03_fft-maxpower,0.3477604634221713,0.040607280947482345
ch15_rms,0.3337219218508541,0.038968029043831225
ch11_fft-maxpower,0.32792983254218133,0.03829169857338135
ch06_rms,0.3276214378838913,0.03825568795731347
ch10_thresh2-events,0.315399484788746,0.03682855538974778
ch01_maxabs,0.295498343685668,0.034504739680521715
ch05_rms,0.2931707932183121,0.034232956353523365
ch07_maxabs,0.26670186414591773,0.03114223342129376
ch05_thresh2-events,0.2499809277099071,0.029189763733163048
ch01_mav,0.23087688705819934,0.0269590238199997
ch04_thresh2-events,0.22098027100287598,0.025803416122007834
ch14_rms,0.2005309616506702,0.023415591922915573
ch12_thresh2-events,0.1875287368790968,0.021897348621058008
ch06_thresh2-events,0.16776899294368974,0.01959004357108369
ch09_fft-maxpower,0.16663764032100545,0.019457937829827413
ch00_rms,0.15945232704003884,0.018618923434042922
ch02_rms,0.15590331873163643,0.01820451296297884
ch03_thresh2-events,0.15258927602514094,0.017817538946639188
ch04_thresh3-events,0.14275033870620998,0.01666866627720788
ch11_maxabs,0.13810093284162947,0.016125764624949915
ch02_thresh2-events,0.1377474337189812,0.016084487252453893
ch10_rms,0.13582187825892847,0.015859644063619633
ch13_thresh2-events,0.12279793450238949,0.01433886468012785
ch14_thresh2-events,0.1210301519447245,0.01413244431173187
ch05_thresh3-events,0.11601460083498395,0.013546788625011541
ch09_maxabs,0.10200026270353388,0.011910362907732818
ch04_fft-highfreq,0.08821864531383476,0.010301111517430753
ch12_rms,0.08554260345386909,0.009988635560372543
ch04_rms,0.06657142089004159,0.007773409215507352
ch06_fft-highfreq,0.06600675775403883,0.007707474651299819
ch05_fft-highfreq,0.06174541178698732,0.007209885962822562
ch07_fft-highfreq,0.05757159897905087,0.006722518343035597
