feature,importance
ch05_thresh2-events,0.07156342
ch04_thresh2-events,0.06526731
ch04_rms,0.046037383
ch04_thresh3-events,0.04257324
ch05_rms,0.039758567
ch07_mav,0.035645932
ch10_rms,0.035310674
ch11_fft-maxpower,0.0344531
ch06_fft-highfreq,0.03411546
ch09_fft-maxpower,0.033688836
ch10_thresh2-events,0.032669295
ch12_thresh2-events,0.03225257
ch13_rms,0.026599187
ch03_maxabs,0.026553025
ch01_maxabs,0.025967397
ch07_thresh2-events,0.023396982
ch14_thresh2-events,0.023253512
ch06_rms,0.023081522
ch14_rms,0.023028012
ch03_thresh2-events,0.020846782
ch06_thresh2-events,0.020483822
ch02_rms,0.020040363
ch05_fft-highfreq,0.0196184
ch05_thresh3-events,0.019594146
ch15_rms,0.019451763
ch03_fft-maxpower,0.019405395
ch04_fft-highfreq,0.018912481
ch00_rms,0.01872832
ch13_thresh2-events,0.018725386
ch07_fft-highfreq,0.018596109
ch08_rms,0.018523563
ch12_rms,0.016514625
ch02_thresh2-events,0.016472673
ch11_maxabs,0.0162393
ch01_mav,0.015930064
ch09_maxabs,0.014471983
ch07_maxabs,0.012229347
