feature,channel,category,importance_median,importance_mean,importance_norm_median,importance_norm_mean,rank,in_top_n,in_final_set,decision,replaced_by
ch05_maxabs,ch05,Max,0.01582045459151987,0.016774254948801005,0.9683600245194632,0.9756999157897857,3,1,0,DROP,ch05_rms
ch04_maxabs,ch04,Max,0.014457120357905754,0.015504599472609822,0.8849111979226317,0.9018484842369151,4,1,0,DROP,ch04_rms
ch05_mav,ch05,MAV,0.014172858925847208,0.01612975912910689,0.8675117353644761,0.9382118414209526,5,1,0,DROP,ch05_rms
ch04_mav,ch04,MAV,0.013708244901178612,0.015114342222456582,0.8390730046239997,0.8791485808866273,6,1,0,DROP,ch04_rms
ch03_rms,ch03,RMS,0.012061495910695353,0.01372496313904516,0.7382765399221233,0.798333244597637,8,1,0,DROP,ch03_maxabs
ch06_mav,ch06,MAV,0.011309981783525344,0.012947168020833259,0.6922768352737401,0.7530916148705711,10,1,0,DROP,ch06_rms
ch04_fft-maxpower,ch04,FFT,0.010960179599760679,0.011877196687054415,0.6708656647357656,0.6908551135504261,11,1,0,DROP,ch04_rms
ch09_rms,ch09,RMS,0.010858763159617492,0.01106355228125,0.6646580285458185,0.6435282557764572,13,1,0,DROP,ch09_maxabs
ch05_fft-maxpower,ch05,FFT,0.010819407171091491,0.01227675244817781,0.6622490733673463,0.7140958788584127,14,1,0,DROP,ch05_rms
ch03_mav,ch03,MAV,0.01072708557088975,0.011783819294181432,0.6565981265808389,0.6854236762293097,15,1,0,DROP,ch03_fft-maxpower
ch10_mav,ch10,MAV,0.0104842251187363,0.010879728797216472,0.6417327918307122,0.6328358847329064,16,1,0,DROP,ch10_rms
ch06_maxabs,ch06,Max,0.010279058622074115,0.011470305161081789,0.629174680267669,0.6671876523821763,17,1,0,DROP,ch06_rms
ch11_mav,ch11,MAV,0.009952381177954245,0.010762529464067114,0.6091789604248625,0.6260188082169316,18,1,0,DROP,ch11_fft-maxpower
ch09_mav,ch09,MAV,0.00988633996575005,0.010242287246980461,0.6051366195743266,0.5957581326190552,20,1,0,DROP,ch09_fft-maxpower
ch11_rms,ch11,RMS,0.009817162377765148,0.01029680790329805,0.6009023031449388,0.5989294090745665,21,1,0,DROP,ch11_maxabs
ch07_rms,ch07,RMS,0.009321860640456432,0.010606714535945033,0.5705851969132446,0.616955597200315,25,1,0,DROP,ch07_mav
ch14_mav,ch14,MAV,0.009240422714729708,0.009873070157198705,0.5656004329611508,0.5742820620270818,27,1,0,DROP,ch14_rms
ch10_fft-maxpower,ch10,FFT,0.008848360715607757,0.009232152514417068,0.5416025658400387,0.5370021177315571,30,1,0,DROP,ch10_rms
ch15_mav,ch15,MAV,0.008792492221816795,0.009485690210094218,0.5381828906528111,0.5517495213615117,32,1,0,DROP,ch15_rms
ch13_mav,ch13,MAV,0.00873211451242102,0.009639554167696358,0.5344872092289498,0.5606992512263378,33,1,0,DROP,ch13_rms
ch12_mav,ch12,MAV,0.008606913054012868,0.009321163616371092,0.5268237071068945,0.5421795831358912,34,1,0,DROP,ch12_rms
ch08_mav,ch08,MAV,0.008374105178285492,0.009105848779677213,0.5125736842049908,0.5296554699236066,35,1,0,DROP,ch08_rms
ch02_maxabs,ch02,Max,0.00830922304442129,0.009431135223784423,0.5086022898069252,0.5485762480500682,36,1,0,DROP,ch02_rms
ch10_maxabs,ch10,Max,0.008131116427860706,0.008846452486094473,0.4977004963987804,0.5145672920833769,41,1,0,DROP,ch10_rms
ch12_maxabs,ch12,Max,0.007789593901826101,0.008755556051841348,0.4767961184764108,0.5092801634736676,43,1,0,DROP,ch12_rms
ch02_mav,ch02,MAV,0.007736358589235272,0.008571195567143747,0.4735376186458567,0.49855655697409706,44,1,0,DROP,ch02_rms
ch15_maxabs,ch15,Max,0.0076337727948400744,0.008212515581766125,0.46725840702136073,0.4776933930006985,46,1,0,DROP,ch15_rms
ch13_fft-maxpower,ch13,FFT,0.007620185688436869,0.008123955737124064,0.466426748827619,0.4725421756605929,47,1,0,DROP,ch13_rms
ch13_maxabs,ch13,Max,0.0075837955031498264,0.008291265422015035,0.4641993285905471,0.482273996594351,48,1,0,DROP,ch13_rms
ch14_maxabs,ch14,Max,0.007575163438956388,0.008712469419053133,0.46367096539809544,0.506773964294542,49,1,0,DROP,ch14_rms
ch07_fft-maxpower,ch07,FFT,0.007500259741249147,0.008085469847590948,0.45908615741240943,0.4703035856730693,50,1,0,DROP,ch07_mav
ch01_rms,ch01,RMS,0.007368496325594384,0.008049594533409149,0.45102100203548323,0.4682168437502266,53,1,0,DROP,ch01_mav
ch08_maxabs,ch08,Max,0.007263695584023275,0.007815467547389982,0.4446062148945463,0.45459849341274433,54,1,0,DROP,ch08_rms
ch06_fft-maxpower,ch06,FFT,0.007175639671285691,0.0075590439814205365,0.4392163681411315,0.43968322877139066,57,1,0,DROP,ch06_rms
ch08_fft-maxpower,ch08,FFT,0.0071729278015248005,0.007558367619632817,0.4390503763073976,0.43964388716478364,58,1,0,DROP,ch08_rms
ch12_fft-maxpower,ch12,FFT,0.007066089877874148,0.0074791740254611765,0.43251089453919295,0.4350374719528887,59,1,0,DROP,ch12_rms
ch14_fft-maxpower,ch14,FFT,0.007027665118297133,0.008135253258097273,0.43015893929600435,0.4731993130592934,60,1,0,DROP,ch14_rms
ch00_mav,ch00,MAV,0.0069967089748268155,0.007508261464734744,0.428264133323361,0.4367293868627542,61,1,0,DROP,ch00_rms
ch15_fft-maxpower,ch15,FFT,0.006746944848235544,0.007717335781228014,0.4129762290251084,0.44889051077668823,62,1,0,DROP,ch15_rms
ch00_maxabs,ch00,Max,0.006739690622650757,0.007326356976030191,0.4125322024628806,0.42614863708563794,63,1,0,DROP,ch00_rms
ch02_fft-maxpower,ch02,FFT,0.006588444783724733,0.00768710508194786,0.40327454027349086,0.44713209641897506,65,1,0,DROP,ch02_rms
ch00_fft-maxpower,ch00,FFT,0.006414624641779221,0.006796021012292213,0.39263511926680517,0.3953008434436064,66,1,0,DROP,ch00_rms
ch01_fft-maxpower,ch01,FFT,0.006272085078209843,0.006843904472624063,0.3839103626882538,0.3980860573536197,67,1,0,DROP,ch01_mav
ch06_thresh3-events,ch06,Thresh,0.004103335006642606,0.004895150781551423,0.2511625418004042,0.28473385076810354,81,0,0,DROP,
ch03_thresh3-events,ch03,Thresh,0.004090302859168751,0.005710501756335517,0.2503648522919063,0.33215997370853395,82,0,0,DROP,
ch11_thresh2-events,ch11,Thresh,0.004090036446757959,0.00440464005411339,0.2503485453566564,0.25620255224449995,83,0,0,DROP,
ch09_thresh2-events,ch09,Thresh,0.004067404558159611,0.004699593229419932,0.24896326176248174,0.27335894990191684,84,0,0,DROP,
ch06_fft-halfwidth,ch06,FFT,0.004064839546591462,0.0040310509144530484,0.24880625902588802,0.23447217475714527,85,0,0,DROP,
ch03_fft-highfreq,ch03,FFT,0.004019296282132037,0.004353852940955961,0.2460185845988671,0.25324844297513704,86,0,0,DROP,
ch01_thresh2-events,ch01,Thresh,0.004017531479563513,0.004780791949945467,0.24591056214928192,0.2780819963216129,87,0,0,DROP,
ch15_fft-highfreq,ch15,FFT,0.003953299670538774,0.00402088580289238,0.24197897372353172,0.2338809056650747,88,0,0,DROP,
ch05_fft-halfwidth,ch05,FFT,0.0039522972390430375,0.004090592292076949,0.2419176155253728,0.23793548906296486,89,0,0,DROP,
ch08_thresh2-events,ch08,Thresh,0.0038819528320064817,0.0044342229808261085,0.23761187883944726,0.2579232879308547,90,0,0,DROP,
ch02_fft-highfreq,ch02,FFT,0.0037995073987919237,0.004007561897098767,0.23256544599092713,0.23310590052770802,91,0,0,DROP,
ch04_fft-halfwidth,ch04,FFT,0.003763970146130366,0.0038527156623910856,0.23039023322067292,0.22409903502901415,92,0,0,DROP,
ch00_thresh2-events,ch00,Thresh,0.0037447064069032416,0.004352805283620178,0.22921111192030819,0.25318750440126775,93,0,0,DROP,
ch14_fft-highfreq,ch14,FFT,0.00371353892970457,0.0037804713709021108,0.2273033703437486,0.21989683652081013,94,0,0,DROP,
ch01_fft-highfreq,ch01,FFT,0.003709639508846119,0.003715736982461827,0.22706468925805304,0.21613146288468316,95,0,0,DROP,
ch00_fft-highfreq,ch00,FFT,0.0037017397874065557,0.0037288116898480366,0.22658115230260972,0.21689197301968693,96,0,0,DROP,
ch13_fft-highfreq,ch13,FFT,0.0036316732022734274,0.003676563973080414,0.22229242091976564,0.21385290553168373,97,0,0,DROP,
ch03_fft-halfwidth,ch03,FFT,0.0036154612462128474,0.003799867096306225,0.2213000973378158,0.22102501823148746,98,0,0,DROP,
ch12_fft-highfreq,ch12,FFT,0.0035758041770119382,0.0035776599784411996,0.21887271320156304,0.2081000050579937,99,0,0,DROP,
ch15_thresh2-events,ch15,Thresh,0.0035413178540917214,0.003868468736974796,0.21676182717642267,0.2250153364439903,100,0,0,DROP,
ch02_fft-halfwidth,ch02,FFT,0.0035228902267470334,0.0035539331113748907,0.21563388375582698,0.2067198959402288,101,0,0,DROP,
ch09_fft-highfreq,ch09,FFT,0.0035142251869212417,0.003685066046021572,0.21510350214576482,0.2143474414665462,102,0,0,DROP,
ch08_fft-highfreq,ch08,FFT,0.003500517573641524,0.003906158950857101,0.21426446780229114,0.22720764475355798,103,0,0,DROP,
ch10_fft-highfreq,ch10,FFT,0.0034995292105358916,0.0034959026788910956,0.21420397072139707,0.2033444680442953,104,0,0,DROP,
ch11_fft-highfreq,ch11,FFT,0.003372948335388144,0.0035076288650012387,0.2064560353727206,0.20402653939918547,105,0,0,DROP,
ch15_fft-halfwidth,ch15,FFT,0.0033706638658930746,0.003503861508971935,0.20631620443907311,0.2038074054363501,106,0,0,DROP,
ch14_fft-halfwidth,ch14,FFT,0.0032935981881338297,0.0033870321965073875,0.20159906302111708,0.1970118517332877,107,0,0,DROP,
ch12_fft-halfwidth,ch12,FFT,0.0032614347665641504,0.0031831274571710224,0.19963036031920234,0.1851514240954062,108,0,0,DROP,
ch01_fft-halfwidth,ch01,FFT,0.0032545632365349186,0.0034504948676743153,0.19920975831000598,0.20070325401031056,109,0,0,DROP,
ch07_thresh3-events,ch07,Thresh,0.003248795884412995,0.0040026245459851475,0.19885674233250103,0.23281871203078297,110,0,0,DROP,
ch13_fft-halfwidth,ch13,FFT,0.003240973608385618,0.0031547247017835183,0.19837794576177992,0.18349933485958791,111,0,0,DROP,
ch00_fft-halfwidth,ch00,FFT,0.00323808522883384,0.0033110554184536275,0.1982011498753279,0.1925925474974038,112,0,0,DROP,
ch07_fft-halfwidth,ch07,FFT,0.003222776037891132,0.0035004228733443985,0.1972640839755528,0.20360739199298347,113,0,0,DROP,
ch09_thresh3-events,ch09,Thresh,0.0031384007637592333,0.0032962427373600233,0.19209952678444667,0.1917309454924406,114,0,0,DROP,
ch12_thresh3-events,ch12,Thresh,0.003137360721541139,0.0034127886001211,0.19203586645774814,0.19851001191468776,115,0,0,DROP,
ch10_thresh3-events,ch10,Thresh,0.0031232863199999474,0.003478321095544073,0.1911743812366578,0.20232180865086768,116,0,0,DROP,
ch11_thresh3-events,ch11,Thresh,0.003073308231182497,0.0032800705500078257,0.18811525401419205,0.19079026574923663,117,0,0,DROP,
ch08_fft-halfwidth,ch08,FFT,0.0030662776923884756,0.003287353006642536,0.18768491917902158,0.1912138608565554,118,0,0,DROP,
ch04_fft-peakfreq,ch04,FFT,0.003038900171023976,0.0030690667127163717,0.18600915840322063,0.17851690833902814,119,0,0,DROP,
ch09_fft-halfwidth,ch09,FFT,0.003016320559700503,0.003176931434848122,0.18462707466799352,0.18479102308343054,120,0,0,DROP,
ch13_thresh3-events,ch13,Thresh,0.0030030345884049722,0.0033735599888911655,0.1838138487638276,0.19622822039605264,121,0,0,DROP,
ch10_fft-halfwidth,ch10,FFT,0.00297296232356161,0.0030999098332272113,0.18197314444318918,0.18031094510411685,122,0,0,DROP,
ch11_fft-halfwidth,ch11,FFT,0.0029592936669644177,0.00312827506239367,0.18113649461362616,0.18196085157051703,123,0,0,DROP,
ch05_fft-peakfreq,ch05,FFT,0.002954514437444023,0.0030051993861928607,0.18084396099591113,0.1748019686710125,124,0,0,DROP,
ch02_thresh3-events,ch02,Thresh,0.0028986555564419723,0.0034306975974443127,0.17742487420141598,0.19955171583736406,125,0,0,DROP,
ch15_thresh3-events,ch15,Thresh,0.002879055223411618,0.003309566577374315,0.17622515020713597,0.19250594680365354,126,0,0,DROP,
ch06_fft-peakfreq,ch06,FFT,0.0028669536002247885,0.0028845766187221623,0.17548441750200847,0.16778576291864294,127,0,0,DROP,
ch08_thresh3-events,ch08,Thresh,0.0028617872543790584,0.0030966843259774635,0.17516818873873835,0.18012332859527255,128,0,0,DROP,
ch14_thresh3-events,ch14,Thresh,0.0028065153831391344,0.0030731651205385454,0.17178503244070006,0.1787552984302228,129,0,0,DROP,
ch02_fft-peakfreq,ch02,FFT,0.0026821654866182503,0.0026896713883954614,0.16417365388344282,0.15644880533708766,130,0,0,DROP,
ch01_thresh3-events,ch01,Thresh,0.00266105550502957,0.002962696626757967,0.16288152525524416,0.17232973136878743,131,0,0,DROP,
ch07_fft-peakfreq,ch07,FFT,0.0026243662045765323,0.0027202706884157622,0.16063579636794975,0.15822865991448382,132,0,0,DROP,
ch10_fft-peakfreq,ch10,FFT,0.0025522254877621987,0.002614161218754103,0.15622010869607808,0.152056642085413,133,0,0,DROP,
ch03_fft-peakfreq,ch03,FFT,0.0025495429008334453,0.0028045908492058224,0.15605590924598797,0.16313326962939242,134,0,0,DROP,
ch12_fft-peakfreq,ch12,FFT,0.002494270689186534,0.002532040690241757,0.15267273211185317,0.14727997730962,135,0,0,DROP,
ch00_thresh3-events,ch00,Thresh,0.0024940848222552653,0.0030110961086518943,0.1526613553144875,0.17514496045361483,136,0,0,DROP,
ch08_fft-peakfreq,ch08,FFT,0.002491421734067298,0.0025002000850518034,0.1524983493699946,0.14542792033914012,137,0,0,DROP,
ch01_fft-peakfreq,ch01,FFT,0.0024669973985555673,0.0025339023518921046,0.15100335123336148,0.1473882636759008,138,0,0,DROP,
ch15_fft-peakfreq,ch15,FFT,0.0024535489032166055,0.0026792834160836204,0.150180177335238,0.1558445732122734,139,0,0,DROP,
ch06_fft-lowfreq,ch06,FFT,0.0024479809363548554,0.0024805208559961858,0.14983936560346525,0.14428324820967864,140,0,0,DROP,
ch11_fft-peakfreq,ch11,FFT,0.0024478961237101903,0.0025147997578413434,0.14983417427510032,0.14627713239385084,141,0,0,DROP,
ch07_fft-lowfreq,ch07,FFT,0.0024374631143913522,0.002566748854392573,0.14919557637000488,0.1492988301852042,142,0,0,DROP,
ch03_fft-lowfreq,ch03,FFT,0.0024232477807066832,0.002484988371661282,0.14832546478150369,0.14454310801695644,143,0,0,DROP,
ch00_fft-peakfreq,ch00,FFT,0.0024171767707527377,0.0025464384175096742,0.1479538621000604,0.14811744289755513,144,0,0,DROP,
ch04_fft-lowfreq,ch04,FFT,0.0023989196973095072,0.0024457113083429117,0.14683635817595592,0.14225849820929737,145,0,0,DROP,
ch14_fft-peakfreq,ch14,FFT,0.002389956919656823,0.002458884562089172,0.146287752221727,0.14302474044241797,146,0,0,DROP,
ch05_fft-lowfreq,ch05,FFT,0.00238839067728903,0.0024978123377951723,0.1461918835165071,0.14528903340768873,147,0,0,DROP,
ch09_fft-peakfreq,ch09,FFT,0.002382395733355396,0.002439197739625286,0.14582493678808134,0.141879626630877,148,0,0,DROP,
ch13_fft-peakfreq,ch13,FFT,0.002319186770810857,0.0024069772970347065,0.14195595614878356,0.1400054758433581,149,0,0,DROP,
ch02_fft-lowfreq,ch02,FFT,0.0022242687935390263,0.002375233773728529,0.1361460867631367,0.13815906578751702,150,0,0,DROP,
ch01_fft-lowfreq,ch01,FFT,0.0022038221058378613,0.0022466160332229425,0.1348945579344863,0.13067782033349204,151,0,0,DROP,
ch09_fft-lowfreq,ch09,FFT,0.0020711237852134167,0.002058632811877631,0.1267721776153735,0.119743491876202,152,0,0,DROP,
ch15_fft-lowfreq,ch15,FFT,0.0020624684598664895,0.0022004234599775113,0.1262423906224215,0.12799095942889477,153,0,0,DROP,
ch08_fft-lowfreq,ch08,FFT,0.0020314200389089064,0.002225038210593272,0.1243419364031166,0.12942271363653549,154,0,0,DROP,
ch14_fft-lowfreq,ch14,FFT,0.0020313710215478847,0.0020486623253577778,0.12433893608143518,0.11916354344406616,155,0,0,DROP,
ch12_fft-lowfreq,ch12,FFT,0.002024547906850854,0.002098953585905719,0.12392129754411671,0.12208881069625466,156,0,0,DROP,
ch00_fft-lowfreq,ch00,FFT,0.002020885782253781,0.002133087542476389,0.12369714121257135,0.12407426391925788,157,0,0,DROP,
ch11_fft-lowfreq,ch11,FFT,0.0020052852804769497,0.002108045570763157,0.12274224436079403,0.12261765975016738,158,0,0,DROP,
ch10_fft-lowfreq,ch10,FFT,0.0020000983486301114,0.0021446185293967695,0.12242475554140969,0.12474498121797122,159,0,0,DROP,
ch13_fft-lowfreq,ch13,FFT,0.001947785519164163,0.0019893289719320703,0.11922272031977442,0.11571232918044091,160,0,0,DROP,
ch05_rms,ch05,RMS,0.016337368531265606,0.017192022544373176,1.0,1.0,1,1,1,KEEP,
ch04_rms,ch04,RMS,0.016100138036845242,0.016798314120693054,0.9854792714036924,0.9770993539204624,2,1,1,KEEP,
ch03_maxabs,ch03,Max,0.012316060197835928,0.013527209623006808,0.7538582590131387,0.786830612168675,7,1,1,KEEP,
