feature,channel,category,importance_median,importance_mean,importance_norm_median,importance_norm_mean,rank,in_top_n,in_final_set,decision,replaced_by
ch05_rms,ch05,RMS,0.01542225350422632,0.017128174558378093,0.9603422305794851,1.0,2,1,0,DROP,ch05_maxabs
ch04_maxabs,ch04,Max,0.013952282479704595,0.01551735811696833,0.8688072773906045,0.9059551596745115,4,1,0,DROP,ch04_rms
ch04_mav,ch04,MAV,0.013767124584807212,0.014794112958000314,0.8572775132256966,0.8637296932943684,5,1,0,DROP,ch04_rms
ch05_mav,ch05,MAV,0.013662442370527474,0.015854111775590037,0.8507589618910388,0.9256159622588118,6,1,0,DROP,ch05_fft-maxpower
ch06_mav,ch06,MAV,0.011540329062552614,0.012750894347190964,0.7186151719342402,0.7444397710761289,9,1,0,DROP,ch06_rms
ch04_fft-maxpower,ch04,FFT,0.01100779743598513,0.011831563642058182,0.6854544791747941,0.6907661760295921,10,1,0,DROP,ch04_rms
ch03_maxabs,ch03,Max,0.01089451971936577,0.013194197326673006,0.6784006867427493,0.7703212786454925,12,1,0,DROP,ch03_rms
ch09_rms,ch09,RMS,0.010481229912569185,0.010717172389500993,0.6526651705403973,0.625704295164296,14,1,0,DROP,ch09_maxabs
ch11_mav,ch11,MAV,0.010467329424682124,0.011173447770282825,0.6517995885072694,0.6523431748199596,15,1,0,DROP,ch11_fft-maxpower
ch10_mav,ch10,MAV,0.010436789598380115,0.01122868538336542,0.649897876484163,0.6555681310401528,16,1,0,DROP,ch10_rms
ch06_maxabs,ch06,Max,0.010336515113792109,0.011208058204812143,0.6436537940500969,0.6543638475081877,17,1,0,DROP,ch06_rms
ch03_mav,ch03,MAV,0.0103201658971755,0.011846614464887315,0.6426357299163749,0.6916448933019923,18,1,0,DROP,ch03_rms
ch09_mav,ch09,MAV,0.009927315351027295,0.010337496402103892,0.6181729644930891,0.6035375437627939,19,1,0,DROP,ch09_fft-maxpower
ch11_rms,ch11,RMS,0.009627337555441408,0.009977588914875395,0.5994933762436596,0.58252494338312,22,1,0,DROP,ch11_maxabs
ch15_mav,ch15,MAV,0.009378940920068194,0.009917296892798718,0.5840257418400766,0.5790048938955822,24,1,0,DROP,ch15_rms
ch14_mav,ch14,MAV,0.009323023612501253,0.010177878298950796,0.5805437765188529,0.5942185061380273,26,1,0,DROP,ch14_rms
ch07_mav,ch07,MAV,0.009296811289035973,0.010852390637079998,0.5789115376778547,0.6335987877804321,27,1,0,DROP,ch07_rms
ch13_mav,ch13,MAV,0.009164995049211377,0.009642564193440258,0.5707033532030592,0.5629650819225032,29,1,0,DROP,ch13_rms
ch10_fft-maxpower,ch10,FFT,0.008894278130346454,0.009285496045109408,0.5538458369103137,0.5421182516246305,32,1,0,DROP,ch10_rms
ch08_mav,ch08,MAV,0.008784560799799824,0.009102457692690346,0.547013749373852,0.5314318616771663,33,1,0,DROP,ch08_rms
ch10_maxabs,ch10,Max,0.008748069784233238,0.008860509740184543,0.5447414573721856,0.517306132652093,34,1,0,DROP,ch10_rms
ch12_mav,ch12,MAV,0.008529661758669527,0.009621633921276006,0.5311412107941589,0.5617431027738837,36,1,0,DROP,ch12_rms
ch02_maxabs,ch02,Max,0.008423721814645475,0.009451510473728315,0.5245443407502548,0.5518107280793209,38,1,0,DROP,ch02_rms
ch12_maxabs,ch12,Max,0.00824341329071072,0.008974264669750175,0.5133165464450616,0.523947525123773,41,1,0,DROP,ch12_rms
ch13_maxabs,ch13,Max,0.008210920730201063,0.008452192879939929,0.5112932378521552,0.4934672314981525,42,1,0,DROP,ch13_rms
ch14_maxabs,ch14,Max,0.008127819403419155,0.008846188689750597,0.5061185262898027,0.5164700219279096,43,1,0,DROP,ch14_rms
ch03_fft-maxpower,ch03,FFT,0.007999456008037122,0.008895971794642453,0.49812535010370534,0.5193765257542328,44,1,0,DROP,ch03_rms
ch15_maxabs,ch15,Max,0.007873096073988927,0.008247809103637477,0.4902569292606382,0.48153462445903994,45,1,0,DROP,ch15_rms
ch13_fft-maxpower,ch13,FFT,0.007790564796748679,0.008180697285865816,0.48511771462798065,0.47761641253616843,46,1,0,DROP,ch13_rms
ch02_mav,ch02,MAV,0.007769312003035562,0.008449202206686489,0.4837943052238422,0.4932926260115464,47,1,0,DROP,ch02_rms
ch12_fft-maxpower,ch12,FFT,0.007580180912496869,0.007775066619291492,0.47201713055153605,0.45393434033449803,50,1,0,DROP,ch12_rms
ch06_fft-maxpower,ch06,FFT,0.007507609500131187,0.007595751198831063,0.4674981157390468,0.4434653075809336,52,1,0,DROP,ch06_rms
ch07_fft-maxpower,ch07,FFT,0.0074492782299308445,0.008024797456845928,0.46386583319866576,0.4685144601659066,53,1,0,DROP,ch07_rms
ch07_maxabs,ch07,Max,0.007409183471576937,0.007850734156598631,0.46136913648300193,0.4583520637205624,54,1,0,DROP,ch07_rms
ch01_rms,ch01,RMS,0.007376605995176695,0.0082542680988367,0.45934054018582104,0.48191172215717515,56,1,0,DROP,ch01_maxabs
ch08_maxabs,ch08,Max,0.007261934047583406,0.00781064526262653,0.4521999291261951,0.45601154028442703,58,1,0,DROP,ch08_rms
ch14_fft-maxpower,ch14,FFT,0.007065257785431087,0.008071589689406057,0.43995291734898406,0.47124634688276873,59,1,0,DROP,ch14_rms
ch00_mav,ch00,MAV,0.007055049434745072,0.007595449161897871,0.43931724434142666,0.44344767365665505,60,1,0,DROP,ch00_rms
ch01_mav,ch01,MAV,0.00690548179324703,0.007242576099193346,0.43000368180535625,0.42284576645972494,61,1,0,DROP,ch01_fft-maxpower
ch08_fft-maxpower,ch08,FFT,0.006858904971176595,0.00747501554608035,0.4271033476104756,0.43641635718991506,62,1,0,DROP,ch08_rms
ch02_fft-maxpower,ch02,FFT,0.006681598772133186,0.00751659986589524,0.41606250778520265,0.4388441885780853,64,1,0,DROP,ch02_rms
ch00_maxabs,ch00,Max,0.006494623726532948,0.007242648585192879,0.4044195898221937,0.4228499984343167,65,1,0,DROP,ch00_rms
ch00_fft-maxpower,ch00,FFT,0.006225401221301203,0.00673480820238348,0.38765513052150863,0.3932005818500494,67,1,0,DROP,ch00_rms
ch15_fft-highfreq,ch15,FFT,0.004139467086285913,0.0042369497515174605,0.25776421415746936,0.24736726830268055,81,0,0,DROP,
ch14_thresh2-events,ch14,Thresh,0.004115992964647484,0.004562426934152542,0.256302482878771,0.2663697125810101,82,0,0,DROP,
ch05_fft-halfwidth,ch05,FFT,0.004058252296127612,0.004118415979648623,0.2527069770477763,0.24044687106683746,83,0,0,DROP,
ch11_thresh2-events,ch11,Thresh,0.004011307359803916,0.004412102327106139,0.24978372041403235,0.2575932602781654,84,0,0,DROP,
ch07_fft-highfreq,ch07,FFT,0.004007293258979212,0.004360814195696041,0.24953376274482977,0.2545988879803299,85,0,0,DROP,
ch02_fft-highfreq,ch02,FFT,0.003950834215778738,0.004081176380156118,0.24601806359822528,0.23827269895260655,86,0,0,DROP,
ch09_thresh2-events,ch09,Thresh,0.0039201792783709576,0.004570468132584347,0.24410918361772213,0.2668391845848362,87,0,0,DROP,
ch06_fft-halfwidth,ch06,FFT,0.003897696040709889,0.003935737496901976,0.24270915458823156,0.229781491511998,88,0,0,DROP,
ch06_thresh3-events,ch06,Thresh,0.0038507547694493762,0.004742183568960531,0.23978612617761674,0.27686450490084097,89,0,0,DROP,
ch03_thresh3-events,ch03,Thresh,0.003842080849632364,0.005529563070117989,0.23924600203151486,0.3228343482413456,90,0,0,DROP,
ch00_fft-highfreq,ch00,FFT,0.0038025796229452413,0.0038250733750263117,0.23678626447520107,0.22332055070955073,91,0,0,DROP,
ch08_thresh2-events,ch08,Thresh,0.003731789329969194,0.004290866184672113,0.23237815979443166,0.2505150896289339,92,0,0,DROP,
ch14_fft-highfreq,ch14,FFT,0.0037141057064778815,0.0038739910118781007,0.23127700227398754,0.22617652562299306,93,0,0,DROP,
