feature,channel,category,importance_median,importance_mean,importance_norm_median,importance_norm_mean,rank,in_top_n,in_final_set,decision,replaced_by
ch03_rms,ch03,RMS,0.02224643223630483,0.022682625616134117,0.8944953609835081,1.0,2,1,0,DROP,ch03_fft-maxpower
ch03_maxabs,ch03,Max,0.01848769396622645,0.01879649494502113,0.7433621855591169,0.8286736845690039,3,1,0,DROP,ch03_fft-maxpower
ch06_rms,ch06,RMS,0.015627701714704647,0.01641078708172074,0.6283662269145609,0.723495919716092,5,1,0,DROP,ch06_maxabs
ch05_maxabs,ch05,Max,0.014957787853701615,0.014120141481185648,0.6014300047572008,0.622509127476936,6,1,0,DROP,ch06_maxabs
ch03_mav,ch03,MAV,0.014895360955414962,0.01639709828895444,0.5989199136861988,0.722892427289864,7,1,0,DROP,ch03_fft-maxpower
ch05_rms,ch05,RMS,0.014616468710274489,0.012884903717321658,0.5877060787286404,0.5680516856988833,8,1,0,DROP,ch06_maxabs
ch06_mav,ch06,MAV,0.014281458975936892,0.01520573688528967,0.5742358444876522,0.6703693453580547,9,1,0,DROP,ch06_maxabs
ch05_mav,ch05,MAV,0.014220585650098441,0.013899807972020466,0.5717882202128136,0.6127953706617436,10,1,0,DROP,ch06_maxabs
ch05_fft-maxpower,ch05,FFT,0.014188093016787251,0.014827355215699145,0.5704817406185007,0.6536877814159429,11,1,0,DROP,ch06_maxabs
ch06_thresh2-events,ch06,Thresh,0.012216664831607446,0.0112863338383554,0.4912135978698555,0.4975761637721273,13,1,0,DROP,
ch04_maxabs,ch04,Max,0.012176504697013783,0.011691682449864446,0.4895988196569302,0.5154466086830869,14,1,0,DROP,ch04_fft-maxpower
ch04_rms,ch04,RMS,0.01213119923614671,0.012077056725679556,0.4877771556641448,0.5324364529073373,16,1,0,DROP,ch04_fft-maxpower
ch04_mav,ch04,MAV,0.01112515676242966,0.011716392779138439,0.4473257108601689,0.5165360032572501,18,1,0,DROP,ch04_fft-maxpower
ch09_fft-maxpower,ch09,FFT,0.010426724866956958,0.011360271754429054,0.41924282171070315,0.5008358356163367,21,1,0,DROP,ch10_fft-maxpower
ch13_fft-maxpower,ch13,FFT,0.010092110886361331,0.010188603219909111,0.40578850012854145,0.44918094546611803,22,1,0,DROP,ch13_mav
ch02_rms,ch02,RMS,0.009866888914550963,0.01320124309268086,0.39673266560928033,0.581998015401305,23,1,0,DROP,ch03_fft-maxpower
ch13_rms,ch13,RMS,0.009615059526468154,0.01089515675329742,0.3866069871631079,0.48033049337761463,24,1,0,DROP,ch13_mav
ch05_thresh2-events,ch05,Thresh,0.00954559721765322,0.009063376764103905,0.3838140128857869,0.3995735289858657,26,1,0,DROP,ch04_thresh2-events
ch15_maxabs,ch15,Max,0.009297084694361236,0.009017124597758747,0.3738217005513976,0.39753442790789084,27,1,0,DROP,
ch10_rms,ch10,RMS,0.009010223865810319,0.011464996180267542,0.36228746091867425,0.5054527802157307,28,1,0,DROP,ch10_fft-maxpower
ch10_maxabs,ch10,Max,0.00880607579570012,0.00998121866254491,0.3540789760826518,0.4400380639993143,29,1,0,DROP,ch10_fft-maxpower
ch09_rms,ch09,RMS,0.00880217575442347,0.009980212850952979,0.3539221613272541,0.43999372117900093,30,1,0,DROP,ch10_fft-maxpower
ch02_maxabs,ch02,Max,0.008776147568890608,0.012448305819049751,0.35287560739147433,0.5488035657651242,31,1,0,DROP,ch03_fft-maxpower
ch02_mav,ch02,MAV,0.008741760823027968,0.01069110867573738,0.35149296839899563,0.47133470598451405,33,1,0,DROP,
ch14_mav,ch14,MAV,0.008456731609036712,0.008620889337374052,0.340032375214805,0.3800657597258946,34,1,0,DROP,ch14_rms
ch13_maxabs,ch13,Max,0.008079015562025482,0.00781347970458595,0.3248449847949965,0.34446980860223847,35,1,0,DROP,ch13_mav
ch01_rms,ch01,RMS,0.008039465179043087,0.007498467001699936,0.3232547237712473,0.33058196738768586,36,1,0,DROP,ch00_mav
ch10_mav,ch10,MAV,0.007754008285946366,0.00991402411133832,0.31177693425769637,0.4370756842314802,37,1,0,DROP,ch10_fft-maxpower
ch14_maxabs,ch14,Max,0.007640615368584499,0.007728782428706806,0.3072175767179714,0.3407357930913137,38,1,0,DROP,ch14_rms
ch06_fft-maxpower,ch06,FFT,0.0075638989203847965,0.007799395081277912,0.30413292447814944,0.3438488653505004,39,1,0,DROP,ch06_maxabs
ch00_fft-maxpower,ch00,FFT,0.007519684439412555,0.006682943890654508,0.3023551271352829,0.29462832053714894,40,1,0,DROP,
ch06_thresh3-events,ch06,Thresh,0.007494894935590721,0.006537616014399595,0.30135837871584303,0.2882213075786693,41,1,0,DROP,
ch14_fft-maxpower,ch14,FFT,0.007469899326843753,0.008867320963106601,0.3003533431293891,0.3909300939481754,42,1,0,DROP,ch14_rms
ch12_mav,ch12,MAV,0.007427470814512115,0.007026925595243996,0.29864735688175403,0.30979330674336725,43,1,0,DROP,
ch11_maxabs,ch11,Max,0.007064254493815925,0.007634500875909125,0.28404297850570004,0.33657923933103745,44,1,0,DROP,
ch12_fft-maxpower,ch12,FFT,0.007013879511381787,0.006391446408865432,0.28201747672553473,0.28177718563230203,45,1,0,DROP,
ch01_mav,ch01,MAV,0.006983205045916874,0.006511272934126684,0.2807841029077665,0.28705993055297907,46,1,0,DROP,
ch07_mav,ch07,MAV,0.006925076500914996,0.008549393175211877,0.2784468421149978,0.376913736526635,47,1,0,DROP,ch06_maxabs
ch15_mav,ch15,MAV,0.006745902082798727,0.009123459566770544,0.2712425100176303,0.40222237589113324,48,1,0,DROP,ch15_fft-maxpower
ch07_rms,ch07,RMS,0.0067440847194570296,0.008975546697388878,0.2711694365889968,0.3957013993567211,49,1,0,DROP,ch06_maxabs
ch07_maxabs,ch07,Max,0.006649761089223839,0.00729740198876237,0.26737682621540965,0.32171769319208526,50,1,0,DROP,
ch15_rms,ch15,RMS,0.006545866011317089,0.010765871676118895,0.2631993624212402,0.4746307529962998,51,0,0,DROP,
ch11_rms,ch11,RMS,0.00648367624072524,0.007745465837673098,0.26069880589585476,0.3414713079848993,52,0,0,DROP,
ch02_fft-maxpower,ch02,FFT,0.00646418704167716,0.013238643472051137,0.25991517470714925,0.5836468712261649,53,0,0,DROP,
ch01_maxabs,ch01,Max,0.00628563600233336,0.006199162664324053,0.25273590772647936,0.2733000477649553,54,0,0,DROP,
ch01_fft-maxpower,ch01,FFT,0.00621653119250101,0.008618361548656158,0.2499573079420246,0.379954318098251,55,0,0,DROP,
ch12_maxabs,ch12,Max,0.006095110346955499,0.006977014546283407,0.24507515956364737,0.30759289794567113,56,0,0,DROP,
ch00_rms,ch00,RMS,0.006037156455107527,0.0057695139481198305,0.24274492130978698,0.25435829368959756,57,0,0,DROP,
ch08_rms,ch08,RMS,0.00600616477041708,0.0074998308086328186,0.2414987925872034,0.33064209300788355,58,0,0,DROP,
ch08_mav,ch08,MAV,0.005947951231396447,0.007155652247434144,0.2391581143136144,0.31546842806171166,59,0,0,DROP,
ch11_mav,ch11,MAV,0.005898123391138536,0.007906565565538528,0.23715461229202767,0.3485736483661133,60,0,0,DROP,
ch08_fft-maxpower,ch08,FFT,0.005855907985455429,0.006098042013094604,0.23545719474010435,0.26884198136026527,61,0,0,DROP,
ch08_maxabs,ch08,Max,0.005751157269219923,0.00577560132097741,0.2312453270241005,0.25462666530409217,62,0,0,DROP,
ch09_mav,ch09,MAV,0.0057492907889169975,0.007084026811557137,0.23117027867681497,0.31231070562299806,63,0,0,DROP,
ch11_thresh2-events,ch11,Thresh,0.005734338243972541,0.00510208275965639,0.23056905948150122,0.22493351722153745,64,0,0,DROP,
ch07_fft-maxpower,ch07,FFT,0.005640267103636926,0.0072317064943551515,0.226786601344447,0.31882140175215207,65,0,0,DROP,
ch09_maxabs,ch09,Max,0.0053883283815261114,0.007151750656474882,0.216656526742531,0.3152964201546338,68,0,0,DROP,
ch13_thresh3-events,ch13,Thresh,0.005348405525903759,0.004501453398401905,0.21505128915782157,0.19845380665279014,69,0,0,DROP,
ch03_thresh2-events,ch03,Thresh,0.005341200955032274,0.009318719779806946,0.21476160427019703,0.4108307361551017,70,0,0,DROP,
ch15_fft-highfreq,ch15,FFT,0.005299196655698061,0.0057732580478703985,0.2130726749849654,0.2545233583436606,71,0,0,DROP,
ch04_fft-highfreq,ch04,FFT,0.004863271993781034,0.0064484287490693655,0.1955448042827708,0.28428934366763114,72,0,0,DROP,
ch05_fft-highfreq,ch05,FFT,0.0047417943208289,0.006257075113553986,0.1906603709604052,0.2758532111513289,73,0,0,DROP,
ch06_fft-highfreq,ch06,FFT,0.004636713801603739,0.004826781131394548,0.18643524236548145,0.21279640254527085,74,0,0,DROP,
ch14_thresh2-events,ch14,Thresh,0.0046315500741507245,0.0044113509232804856,0.18622761670204735,0.19448149424741631,75,0,0,DROP,
ch14_fft-highfreq,ch14,FFT,0.004588734964404623,0.004561203051755551,0.18450608595765286,0.20108796613524205,76,0,0,DROP,
ch14_thresh3-events,ch14,Thresh,0.004566427694939191,0.004128305060826328,0.18360914442378862,0.18200296256222961,77,0,0,DROP,
ch15_thresh3-events,ch15,Thresh,0.00447543834835389,0.004967183536085446,0.1799506005478565,0.2189862681748931,78,0,0,DROP,
ch09_thresh2-events,ch09,Thresh,0.00445132465681591,0.004112255963029866,0.17898102551722708,0.18129541229586865,79,0,0,DROP,
ch05_thresh3-events,ch05,Thresh,0.004256385470992377,0.004584674408391104,0.17114281597689066,0.20212273860967983,80,0,0,DROP,
ch13_thresh2-events,ch13,Thresh,0.004207934958820013,0.0050676870721777095,0.16919469423246422,0.22341712806709077,81,0,0,DROP,
ch10_thresh2-events,ch10,Thresh,0.004107599995071076,0.004861052187346297,0.16516037723886523,0.21430729711857685,82,0,0,DROP,
ch02_thresh2-events,ch02,Thresh,0.004071847340315817,0.010109395612693865,0.1637228171176862,0.4456889508198322,83,0,0,DROP,
ch07_thresh2-events,ch07,Thresh,0.00395434601138262,0.004405197617487287,0.15899826656846966,0.19421021587350434,84,0,0,DROP,
ch15_thresh2-events,ch15,Thresh,0.003946832098403099,0.004233768555297112,0.15869614350299913,0.18665249018992047,85,0,0,DROP,
ch00_fft-halfwidth,ch00,FFT,0.003928709119523672,0.003238853599564376,0.15796744595893206,0.14279006559366672,86,0,0,DROP,
ch04_fft-lowfreq,ch04,FFT,0.003916146058895265,0.003949314785403419,0.15746230431048716,0.1741118886428332,87,0,0,DROP,
ch00_maxabs,ch00,Max,0.0038001749082010317,0.004736268206671773,0.15279927991169748,0.20880599480965167,88,0,0,DROP,
ch01_fft-halfwidth,ch01,FFT,0.0037575197668199478,0.0032126337248129717,0.1510841812530816,0.1416341202813765,89,0,0,DROP,
ch13_fft-highfreq,ch13,FFT,0.0036933763788403063,0.003528856817125451,0.14850507273014638,0.15557532345882305,90,0,0,DROP,
ch15_fft-halfwidth,ch15,FFT,0.003679020492349949,0.00399553380575348,0.14792784426798092,0.1761495284263504,91,0,0,DROP,
ch01_fft-highfreq,ch01,FFT,0.0036786676406049944,0.004039360853946551,0.14791365663350434,0.17808171427356098,92,0,0,DROP,
ch00_thresh2-events,ch00,Thresh,0.003623066908596607,0.00368460430749527,0.14567803537430637,0.16244170184929632,93,0,0,DROP,
ch04_thresh3-events,ch04,Thresh,0.0036074568594553487,0.003612664873988774,0.14505037893064557,0.15927013632051004,94,0,0,DROP,
ch05_fft-halfwidth,ch05,FFT,0.0035526262094826132,0.004243611392922939,0.14284572150426136,0.18708642750354548,95,0,0,DROP,
ch10_fft-highfreq,ch10,FFT,0.003549880435272542,0.002967180914924096,0.14273531808014697,0.13081293872846644,96,0,0,DROP,
ch10_thresh3-events,ch10,Thresh,0.003500422125914346,0.0037637382394580484,0.1407466743365989,0.16593044840368512,97,0,0,DROP,
ch00_fft-highfreq,ch00,FFT,0.0034978670879169567,0.0034350224315089083,0.14064394012683779,0.15143848378229996,98,0,0,DROP,
ch02_thresh3-events,ch02,Thresh,0.003464950583694397,0.0030138052454734454,0.13932041732488382,0.13286844726343014,99,0,0,DROP,
ch11_thresh3-events,ch11,Thresh,0.003460770158374012,0.0033584462138657747,0.13915232875156552,0.14806249817379682,100,0,0,DROP,
ch12_thresh2-events,ch12,Thresh,0.003460511541790832,0.003742518010309196,0.13914193017027973,0.16499492050193468,101,0,0,DROP,
ch03_fft-highfreq,ch03,FFT,0.0033034405040849846,0.00368453316720206,0.13282634153654546,0.1624385655151517,102,0,0,DROP,
ch04_fft-halfwidth,ch04,FFT,0.0032767411291742448,0.0034129244027851376,0.13175280009200582,0.15046425667571436,103,0,0,DROP,
ch02_fft-halfwidth,ch02,FFT,0.0031357629166427524,0.002752970698316462,0.12608427959534063,0.1213691371054627,104,0,0,DROP,
ch02_fft-highfreq,ch02,FFT,0.0031213552271534112,0.0031092554524008165,0.12550496821301144,0.13707652301897572,105,0,0,DROP,
ch14_fft-halfwidth,ch14,FFT,0.002985383452830419,0.0028755305321598082,0.12003774901738119,0.12677238432725565,106,0,0,DROP,
ch04_fft-peakfreq,ch04,FFT,0.002915455833767447,0.004186484968720065,0.11722606531942747,0.18456791729358812,107,0,0,DROP,
ch07_fft-highfreq,ch07,FFT,0.0028627626780486086,0.003064787463002637,0.1151073533010049,0.13511608024878116,108,0,0,DROP,
ch08_thresh2-events,ch08,Thresh,0.002842901579832397,0.0038651510037434563,0.11430876860977308,0.17040139308185645,109,0,0,DROP,
ch08_thresh3-events,ch08,Thresh,0.0028374563714503053,0.00286599380277454,0.11408982502431937,0.12635194228731453,110,0,0,DROP,
ch08_fft-highfreq,ch08,FFT,0.0028257021024772067,0.0028372247259811686,0.11361720366389148,0.12508361130657886,111,0,0,DROP,
ch06_fft-halfwidth,ch06,FFT,0.002772610758420113,0.0030720279622273514,0.11148248109521153,0.13543528929218066,112,0,0,DROP,
ch15_fft-peakfreq,ch15,FFT,0.0027458991057191973,0.002643940177403063,0.11040844597931644,0.11656235138503686,113,0,0,DROP,
ch10_fft-halfwidth,ch10,FFT,0.0026456794839888275,0.0025179419248558695,0.10637876671366588,0.11100751594933794,114,0,0,DROP,
ch09_fft-highfreq,ch09,FFT,0.0026085362024472164,0.0027307152695453386,0.10488529159470028,0.12038797076485647,115,0,0,DROP,
ch00_fft-peakfreq,ch00,FFT,0.0026076139519847154,0.0023164003223946172,0.1048482092998132,0.10212223053873293,116,0,0,DROP,
ch09_thresh3-events,ch09,Thresh,0.0026063051850267194,0.003292207251638922,0.10479558576179593,0.1451422470817126,117,0,0,DROP,
ch05_fft-peakfreq,ch05,FFT,0.002549493101329268,0.002489344807801541,0.10251125788506588,0.10974676609002769,118,0,0,DROP,
ch01_thresh2-events,ch01,Thresh,0.002541688366331369,0.00839535631730834,0.10219744130651658,0.37012277411732863,119,0,0,DROP,
ch13_fft-halfwidth,ch13,FFT,0.0025306187472578946,0.002773376044040107,0.10175234868204987,0.1222687395619407,120,0,0,DROP,
ch07_thresh3-events,ch07,Thresh,0.0025005970759189805,0.0032404869492935226,0.10054522272781234,0.14286207444117796,121,0,0,DROP,
ch06_fft-peakfreq,ch06,FFT,0.00246094883929728,0.0024944082945190156,0.09895102715736888,0.10996999803870795,122,0,0,DROP,
ch11_fft-highfreq,ch11,FFT,0.002458108812543517,0.0023695210312987512,0.09883683398116311,0.10446414235278452,123,0,0,DROP,
ch01_fft-peakfreq,ch01,FFT,0.002450707731263946,0.0023798216182147956,0.0985392477075298,0.10491826027944631,124,0,0,DROP,
ch10_fft-peakfreq,ch10,FFT,0.002450035621217827,0.0025063216668626074,0.09851222318009376,0.11049521820259929,125,0,0,DROP,
ch12_thresh3-events,ch12,Thresh,0.00244052973339335,0.0024823876345330897,0.09813000582179088,0.10944004792669906,126,0,0,DROP,
ch03_fft-lowfreq,ch03,FFT,0.0024381727932911708,0.0024070756373805006,0.09803523682849251,0.10611979751005331,127,0,0,DROP,
ch07_fft-halfwidth,ch07,FFT,0.002434724419141294,0.0024271833594313743,0.09789658292447609,0.10700627874865255,128,0,0,DROP,
ch12_fft-highfreq,ch12,FFT,0.002421705188190599,0.002710729851525298,0.09737309935797574,0.11950688149599224,129,0,0,DROP,
ch03_fft-halfwidth,ch03,FFT,0.00239449230393319,0.0028832617953636953,0.09627891048001672,0.12711322948930726,130,0,0,DROP,
ch01_thresh3-events,ch01,Thresh,0.0023816004952187148,0.002361350292357425,0.09576055036872813,0.10410392219663495,131,0,0,DROP,
ch14_fft-lowfreq,ch14,FFT,0.002369557639135418,0.0025612986929607136,0.09527632535749594,0.11291896874314522,132,0,0,DROP,
ch13_fft-peakfreq,ch13,FFT,0.002369074538391326,0.00226491144730959,0.09525690060795014,0.09985226074086247,133,0,0,DROP,
ch15_fft-lowfreq,ch15,FFT,0.002360649775441578,0.002380137480606021,0.09491815364412745,0.10493218558053671,134,0,0,DROP,
ch07_fft-peakfreq,ch07,FFT,0.0023082655728056418,0.0022086799141857144,0.09281186416143923,0.09737320324216274,135,0,0,DROP,
ch06_fft-lowfreq,ch06,FFT,0.002293344638968857,0.002077350820589077,0.09221191600090836,0.09158334911243522,136,0,0,DROP,
ch09_fft-peakfreq,ch09,FFT,0.002284839456243971,0.002138224719861781,0.09186993547967619,0.09426707278282921,137,0,0,DROP,
ch00_fft-lowfreq,ch00,FFT,0.0022814613169095397,0.00261589743841743,0.0917341056112592,0.11532604217373962,138,0,0,DROP,
ch11_fft-peakfreq,ch11,FFT,0.0022404799325249887,0.0021166446569440907,0.09008630618754578,0.09331568103114679,139,0,0,DROP,
ch03_thresh3-events,ch03,Thresh,0.00220705270028634,0.007165905545258159,0.08874224778526436,0.3159204611727604,140,0,0,DROP,
ch08_fft-halfwidth,ch08,FFT,0.0021952741405564667,0.002357257974671265,0.08826864973028074,0.10392350579531458,141,0,0,DROP,
ch09_fft-halfwidth,ch09,FFT,0.002178917277291132,0.002453298622543048,0.08761096502130498,0.10815761208870019,142,0,0,DROP,
ch02_fft-lowfreq,ch02,FFT,0.002168066874938365,0.002587104033493952,0.08717468676930214,0.11405663864829427,143,0,0,DROP,
ch13_fft-lowfreq,ch13,FFT,0.0021651923716023325,0.002218640379982045,0.08705910734191798,0.0978123263827063,144,0,0,DROP,
ch11_fft-halfwidth,ch11,FFT,0.0021611892209751327,0.0021831565637341877,0.0868981467156336,0.09624796532290829,145,0,0,DROP,
ch05_fft-lowfreq,ch05,FFT,0.002040110832754212,0.002086151302058035,0.08202976802782638,0.09197133247987652,146,0,0,DROP,
ch14_fft-peakfreq,ch14,FFT,0.002017077840889832,0.002153881359507743,0.0811036462949835,0.09495732090096705,147,0,0,DROP,
ch12_fft-peakfreq,ch12,FFT,0.0020041514521315054,0.002000488530238221,0.08058389577248294,0.08819475152890927,148,0,0,DROP,
ch12_fft-halfwidth,ch12,FFT,0.0019825393222325516,0.002355354767866427,0.07971490474820361,0.10383959986497625,149,0,0,DROP,
ch01_fft-lowfreq,ch01,FFT,0.0019725134304259084,0.002805418452900407,0.07931177881702038,0.12368138064690876,150,0,0,DROP,
ch03_fft-peakfreq,ch03,FFT,0.001954137689477159,0.002014570335374532,0.0785729180928065,0.08881557053701805,151,0,0,DROP,
ch00_thresh3-events,ch00,Thresh,0.0019219159878309862,0.001932997569892767,0.07727733225057604,0.08521930408787547,152,0,0,DROP,
ch08_fft-peakfreq,ch08,FFT,0.0018827560768519256,0.0020153348568887845,0.07570277151493894,0.08884927569651724,153,0,0,DROP,
ch09_fft-lowfreq,ch09,FFT,0.0018683571643402178,0.001785837759282335,0.07512381304159278,0.07873152735951658,154,0,0,DROP,
ch07_fft-lowfreq,ch07,FFT,0.0018499843338815,0.0019109595707840123,0.07438506934377684,0.0842477234833321,155,0,0,DROP,
ch08_fft-lowfreq,ch08,FFT,0.0018283438447025827,0.001564532993120142,0.07351493803578375,0.06897495111885514,156,0,0,DROP,
ch02_fft-peakfreq,ch02,FFT,0.0017706374940162578,0.0022151369936504704,0.07119465303727655,0.09765787396653264,157,0,0,DROP,
ch10_fft-lowfreq,ch10,FFT,0.0016351558208974575,0.001730728550006119,0.06574714006909464,0.0763019493111527,158,0,0,DROP,
ch12_fft-lowfreq,ch12,FFT,0.001519166417613158,0.002032762410293157,0.06108338176129127,0.08961759739345415,159,0,0,DROP,
ch11_fft-lowfreq,ch11,FFT,0.0013850416742105043,0.001445007544237187,0.05569042888271747,0.06370547963412822,160,0,0,DROP,
ch03_fft-maxpower,ch03,FFT,0.024870371839429795,0.020248077237528406,1.0,0.8926690225458723,1,1,1,KEEP,
ch06_maxabs,ch06,Max,0.016391406713755233,0.014822658158586246,0.6590736487408723,0.6534807041052122,4,1,1,KEEP,
ch04_fft-maxpower,ch04,FFT,0.012325906497697721,0.013638776836181485,0.49560603988059704,0.6012873935758233,12,1,1,KEEP,
ch10_fft-maxpower,ch10,FFT,0.012134893482411679,0.013021649995474269,0.4879256957136792,0.574080365114874,15,1,1,KEEP,
ch13_mav,ch13,MAV,0.011581404240168788,0.010875315714232565,0.4656707312195263,0.4794557692869987,17,1,1,KEEP,
ch11_fft-maxpower,ch11,FFT,0.010682387046129402,0.009058377278087249,0.4295226108840646,0.39935311861092654,19,1,1,KEEP,
ch04_thresh2-events,ch04,Thresh,0.010562630200589796,0.009833667897363828,0.42470736942676796,0.4335330514104661,20,1,1,KEEP,
ch14_rms,ch14,RMS,0.009611256540754355,0.01064047441352728,0.38645407486495836,0.4691024131685499,25,1,1,KEEP,
ch00_mav,ch00,MAV,0.008770588582272506,0.0072313188358053915,0.3526520889554014,0.3188043112020403,32,1,1,KEEP,
ch12_rms,ch12,RMS,0.005545018466504249,0.007373681387659557,0.2229567978438146,0.32508059306920223,66,0,1,KEEP,
ch15_fft-maxpower,ch15,FFT,0.005430749213557677,0.010059219388635575,0.2183622041769275,0.44347685135183235,67,0,1,KEEP,
