Model,User_ID,Mean_User_Accuracy,Sample_Count,Folds_Processed
DummyClassifier,2,0.1795905211314819,1392,5
DummyClassifier,0,0.19225746516257464,1373,5
DummyClassifier,1,0.10085360935609625,862,5
Logit_L2,2,0.7183646631082231,1392,5
Logit_L2,0,0.7574518911745189,1373,5
Logit_L2,1,0.5765895953757226,862,5
RandomForest,2,0.6616229596967587,1392,5
RandomForest,0,0.7166635700066356,1373,5
RandomForest,1,0.5301787874714343,862,5
DecisionTree,2,0.6055800520873624,1392,5
DecisionTree,0,0.5782879893828798,1373,5
DecisionTree,1,0.46286463234305686,862,5
Logit_Weighted_L2,2,0.7076016606069983,1392,5
Logit_Weighted_L2,0,0.7050112806901128,1373,5
Logit_Weighted_L2,1,0.573121387283237,862,5
Logit_Weighted_All_L2,2,0.8362136097573554,1392,5
Logit_Weighted_All_L2,0,0.888562707365627,1373,5
Logit_Weighted_All_L2,1,0.6775238607339695,862,5
Logit_All_L2,2,0.839091307599082,1392,5
Logit_All_L2,0,0.88492899800929,1373,5
Logit_All_L2,1,0.6774969753999193,862,5
XGBoost,2,0.7140506949279286,1392,5
XGBoost,0,0.7713098871930988,1373,5
XGBoost,1,0.5429022718107273,862,5
