feature,channel,category,importance_median,importance_mean,importance_norm_median,importance_norm_mean,rank,in_top_n,in_final_set,decision,replaced_by
ch03_fft-maxpower,ch03,FFT,0.0248703718394297,0.0202480772375284,1.0,0.8926690225458723,1,1,1,KEEP,
ch06_maxabs,ch06,Max,0.0163914067137552,0.0148226581585862,0.6590736487408723,0.6534807041052122,4,1,1,KEEP,
ch04_fft-maxpower,ch04,FFT,0.0123259064976977,0.0136387768361814,0.495606039880597,0.6012873935758233,12,1,1,KEEP,
ch10_fft-maxpower,ch10,FFT,0.0121348934824116,0.0130216499954742,0.4879256957136792,0.574080365114874,15,1,1,KEEP,
ch13_mav,ch13,MAV,0.0115814042401687,0.0108753157142325,0.4656707312195263,0.4794557692869987,17,1,1,KEEP,
ch11_fft-maxpower,ch11,FFT,0.0106823870461294,0.0090583772780872,0.4295226108840646,0.3993531186109265,19,1,1,KEEP,
ch04_thresh2-events,ch04,Thresh,0.0105626302005897,0.0098336678973638,0.4247073694267679,0.4335330514104661,20,1,1,KEEP,
ch14_rms,ch14,RMS,0.0096112565407543,0.0106404744135272,0.3864540748649583,0.4691024131685499,25,1,1,KEEP,
ch00_mav,ch00,MAV,0.0087705885822725,0.0072313188358053,0.3526520889554014,0.3188043112020403,32,1,1,KEEP,
ch12_rms,ch12,RMS,0.0055450184665042,0.0073736813876595,0.2229567978438146,0.3250805930692022,66,0,1,KEEP,
ch15_fft-maxpower,ch15,FFT,0.0054307492135576,0.0100592193886355,0.2183622041769275,0.4434768513518323,67,0,1,KEEP,
